id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 5898 ME,MOTOR,balairung_a,pertama,8:15,8:40,0,25,25
,AA 6237 WN,MOTOR,balairung_a,pertama,8:20,8:21,0,1,1
,H 4370 ZJ,MOTOR,balairung_a,pertama,8:20,8:31,0,11,11
,H 4418 HK,MOTOR,balairung_a,pertama,8:21,8:32,0,11,11
,K 3643 APE,MOTOR,balairung_a,pertama,8:22,8:36,0,14,14
,K 2098 KM,MOTOR,balairung_a,pertama,8:22,8:38,0,16,16
,K 5707 HU,MOTOR,balairung_a,pertama,8:23,10:34,120,11,131
,H 6759 KJ,MOTOR,balairung_a,pertama,8:23,11:34,180,11,191
,H 8374 ADC,MOTOR,balairung_a,pertama,8:23,12:34,240,11,251
,K 5148 UN,MOTOR,balairung_a,pertama,8:26,9:22,0,56,56
,H 6955 HQ,MOTOR,balairung_a,pertama,8:26,10:22,60,56,116
,K 6400 DG,MOTOR,balairung_a,pertama,8:27,12:14,180,47,227
,Z 4741 YKC,MOTOR,balairung_a,pertama,8:29,13:44,300,15,315
,H 6748 HD,MOTOR,balairung_a,pertama,8:30,10:51,120,21,141
,K 4136 ADC,MOTOR,balairung_a,pertama,8:30,11:51,180,21,201
,K 6614 HU,MOTOR,balairung_a,pertama,8:31,11:04,120,33,153
,H 3302 BH,MOTOR,balairung_a,pertama,8:33,10:46,120,13,133
,R 4174 BC,MOTOR,balairung_a,pertama,8:33,11:46,180,13,193
,KB 6999 ZQ,MOTOR,balairung_a,pertama,8:34,12:46,240,12,252
,K 6848 LS,MOTOR,balairung_a,pertama,8:35,10:33,60,58,118
,G 2469 KB,MOTOR,balairung_a,pertama,8:35,8:38,0,3,3
,H 4463 HA,MOTOR,balairung_a,pertama,8:36,9:38,60,2,62
,K 4226 GQ,MOTOR,balairung_a,pertama,8:38,8:38,0,0,0
,K 6314 T,MOTOR,balairung_a,pertama,8:39,11:01,120,22,142
,H 4247 AP,MOTOR,balairung_a,pertama,8:40,12:01,180,21,201
,H 3415 KI,MOTOR,balairung_a,pertama,8:40,13:01,240,21,261
,R 6475 PV,MOTOR,balairung_a,pertama,8:40,14:01,300,21,321
,H 2124 QJ,MOTOR,balairung_a,pertama,8:40,9:09,0,29,29
,H 2172 TQ,MOTOR,balairung_a,pertama,8:41,9:10,0,29,29
,K 2149 DM,MOTOR,balairung_a,pertama,8:42,9:10,0,28,28
,H 4195 PPA,MOTOR,balairung_a,pertama,8:43,11:47,180,4,184
,K 2790 GZ,MOTOR,balairung_a,pertama,8:43,12:47,240,4,244
,H 2431 AAC,MOTOR,balairung_a,pertama,8:43,10:33,60,50,110
,K 2178 TV,MOTOR,balairung_a,pertama,8:43,11:33,120,50,170
,H 3234 ABG,MOTOR,balairung_a,pertama,8:45,12:33,180,48,228
,H 4610 VV,MOTOR,balairung_a,pertama,8:45,13:33,240,48,288
,G 5328 RK,MOTOR,balairung_a,pertama,8:45,14:33,300,48,348
,H 4038 GJ,MOTOR,balairung_a,pertama,8:46,11:05,120,19,139
,K 2322 EJ,MOTOR,balairung_a,pertama,8:46,12:05,180,19,199
,K 2728 LZ,MOTOR,balairung_a,pertama,8:47,13:05,240,18,258
,H 5712 AR,MOTOR,balairung_a,pertama,8:48,13:51,300,3,303
,G 4497 RW,MOTOR,balairung_a,pertama,8:48,10:50,120,2,122
,H 2703 QS,MOTOR,balairung_a,pertama,8:48,11:50,180,2,182
,H 5112 AIW,MOTOR,balairung_a,pertama,8:48,12:50,240,2,242
,K 5973 BF,MOTOR,balairung_a,pertama,8:50,11:05,120,15,135
,K 5388 BZ,MOTOR,balairung_a,pertama,8:50,12:05,180,15,195
,H 3369 QZ,MOTOR,balairung_a,pertama,8:50,13:05,240,15,255
,H 6621 KA,MOTOR,balairung_a,pertama,8:51,14:05,300,14,314
,G 6637 PP,MOTOR,balairung_a,pertama,8:51,9:21,0,30,30
,H 6275 HL,MOTOR,balairung_a,pertama,8:52,10:21,60,29,89
,H 4812 NB,MOTOR,balairung_a,pertama,8:52,10:34,60,42,102
,K 6871 SJ,MOTOR,balairung_a,pertama,8:52,11:06,120,14,134
,G 5044 GH,MOTOR,balairung_a,pertama,8:52,9:21,0,29,29
,K 5782 QF,MOTOR,balairung_a,pertama,8:52,9:21,0,29,29
,AD 3728 ACE,MOTOR,balairung_a,pertama,8:52,9:22,0,30,30
