id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 9786 FZ,MOBIL,balairung_b,pertama,8:00,12:00,240,0,240
,H 5163 RP,MOTOR,balairung_b,pertama,8:15,8:33,0,18,18
,G 2169 EV,MOTOR,balairung_b,pertama,8:16,8:18,0,2,2
,K 4346 CE,MOTOR,balairung_b,pertama,8:20,9:07,0,47,47
,H 5766 VQ,MOTOR,balairung_b,pertama,8:23,13:45,300,22,322
,H 2365 AUG,MOTOR,balairung_b,pertama,8:25,9:07,0,42,42
,K 4407 MD,MOTOR,balairung_b,pertama,8:30,9:50,60,20,80
,G 5597 ZT,MOTOR,balairung_b,pertama,8:31,8:45,0,14,14
,K 4984 TQ,MOTOR,balairung_b,pertama,8:31,9:45,60,14,74
,G 5019 YM,MOTOR,balairung_b,pertama,8:32,9:25,0,53,53
,H 6463 MZ,MOTOR,balairung_b,pertama,8:33,10:25,60,52,112
,G 5498 PV,MOTOR,balairung_b,pertama,8:34,8:42,0,8,8
,H 8717 RP,MOTOR,balairung_b,pertama,8:34,9:42,60,8,68
,H 2091 APE,MOTOR,balairung_b,pertama,8:34,10:42,120,8,128
,K 3331 AAF,MOTOR,balairung_b,pertama,8:35,11:42,180,7,187
,AA 3842 MN,MOTOR,balairung_b,pertama,8:37,10:15,60,38,98
,H 3027 ABD,MOTOR,balairung_b,pertama,8:37,10:14,60,37,97
,H 3988 DH,MOTOR,balairung_b,pertama,8:37,8:41,0,4,4
,H 4703 AA,MOTOR,balairung_b,pertama,8:37,9:58,60,21,81
,H 5175 GY,MOTOR,balairung_b,pertama,8:38,10:58,120,20,140
,K 5495 EY,MOTOR,balairung_b,pertama,8:40,13:56,300,16,316
,H 9204 EZ,MOBIL,balairung_b,pertama,8:44,14:56,360,12,372
,H 6910 QS,MOTOR,balairung_b,pertama,8:47,10:58,120,11,131
,K 5478 DU,MOTOR,balairung_b,pertama,8:49,11:08,120,19,139
,H 5802 Q,MOTOR,balairung_b,pertama,9:00,10:15,60,15,75
,K 5850 BA,MOTOR,balairung_b,pertama,9:02,10:14,60,12,72
,G 5402 FI,MOTOR,balairung_b,pertama,9:03,11:14,120,11,131
,K 4194 RP,MOTOR,balairung_b,pertama,9:04,12:14,180,10,190
,G 2271 WZ,MOTOR,balairung_b,pertama,9:07,11:47,120,40,160
,K 4850 EV,MOTOR,balairung_b,pertama,9:10,10:37,60,27,87
,H 6968 E,MOTOR,balairung_b,pertama,9:11,11:37,120,26,146
,K 5679 WC,MOTOR,balairung_b,pertama,9:11,9:58,0,47,47
,H 4402 BA,MOTOR,balairung_b,pertama,9:11,10:58,60,47,107
,H 6229 VZ,MOTOR,balairung_b,pertama,9:12,10:57,60,45,105
,H 4745 AOG,MOTOR,balairung_b,pertama,9:14,11:57,120,43,163
,H 9164 NG,MOTOR,balairung_b,pertama,9:15,10:58,60,43,103
,H 5936 KZ,MOTOR,balairung_b,pertama,9:15,10:57,60,42,102
,H 3941 BZ,MOTOR,balairung_b,pertama,9:17,10:56,60,39,99
,H 4459 PF,MOTOR,balairung_b,pertama,9:18,10:55,60,37,97
