id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 3025 QQ,MOTOR,d,pertama,8:11,9:02,0,51,51
,G 6214 UB,MOTOR,d,pertama,8:13,9:00,0,47,47
,K 5831 T,MOTOR,d,pertama,8:21,10:00,60,39,99
,K 4043 SG,MOTOR,d,pertama,8:21,11:00,120,39,159
,H 4998 ZN,MOTOR,d,pertama,8:22,11:00,120,38,158
,H 5641 AUD,MOTOR,d,pertama,8:23,13:19,240,56,296
,H 3947 YZ,MOTOR,d,pertama,8:24,11:41,180,17,197
,H 2447 WG,MOTOR,d,pertama,8:24,12:41,240,17,257
,H 5142 YT,MOTOR,d,pertama,8:24,13:41,300,17,317
,B 2330 AGH,MOTOR,d,pertama,8:24,14:41,360,17,377
,H 2178 AAE,MOTOR,d,pertama,8:25,11:09,120,44,164
,AA 3776 BHG,MOTOR,d,pertama,8:25,12:09,180,44,224
,G 6816 SS,MOTOR,d,pertama,8:27,13:09,240,42,282
,G 2530 LK,MOTOR,d,pertama,8:29,14:09,300,40,340
,H 2601 ALG,MOTOR,d,pertama,8:30,13:02,240,32,272
,G 4842 TR,MOTOR,d,pertama,8:32,14:02,300,30,330
,G 4265 AD,MOTOR,d,pertama,8:32,15:02,360,30,390
,K 2906 KJ,MOTOR,d,pertama,8:34,11:14,120,40,160
,H 5737 CR,MOTOR,d,pertama,8:34,10:00,60,26,86
,G 6807 UH,MOTOR,d,pertama,8:35,10:57,120,22,142
,H 3569 SN,MOTOR,d,pertama,8:37,10:48,120,11,131
,H 3937 AYC,MOTOR,d,pertama,8:37,10:48,120,11,131
,K 2510 AKC,MOTOR,d,pertama,8:39,9:51,60,12,72
,H 5493 APE,MOTOR,d,pertama,8:39,10:51,120,12,132
,H 6228 ATG,MOTOR,d,pertama,8:40,12:04,180,24,204
,K 6128 NG,MOTOR,d,pertama,8:40,12:01,180,21,201
,H 5192 J,MOTOR,d,pertama,8:40,13:01,240,21,261
,K 6720 PT,MOTOR,d,pertama,8:41,11:16,120,35,155
