id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,K 6909 YY,Motor,pasca,pertama,8:25,11:30,180,5,185
,H 7121 SY,Mobil,pasca,pertama,8:25,10:00,60,35,95
,H 2520 AKC,Motor,pasca,pertama,8:26,12:01,180,35,215
,H 6478 BFG,Motor,pasca,pertama,8:26,12:02,180,36,216
,G 5866 BA,Motor,pasca,pertama,8:31,10:15,60,44,104
,G 5019 MA,Motor,pasca,pertama,8:32,10:15,60,43,103
,H 3874 VH,Motor,pasca,pertama,8:35,9:11,0,36,36
,H 2989 RM,Motor,pasca,pertama,8:39,9:00,0,21,21
,H 4318 TA,Motor,pasca,pertama,8:41,11:30,120,49,169
,K 2488 CC,Motor,pasca,pertama,8:42,10.03,960,1,961
,G 4674 FF,Motor,pasca,pertama,8:42,10.03,960,1,961
,K 4683 AQ,Motor,pasca,pertama,8:43,10.04,960,14,974
,H 5637 NU,Motor ,pasca,pertama,8:43,11:05,120,22,142
,H 6844 SH,Motor,pasca,pertama,8:44,13:00,240,16,256
,H 8872 DA,Mobil,pasca,pertama,9:00,13:43,240,43,283
,K 3918 US,Motor,pasca,pertama,9:00,11:07,120,7,127
,H 5295 PY,Motor,pasca,pertama,9:01,11:28,120,27,147
,K 4304 U,Motor ,pasca,pertama,9:09,11:33,120,24,144
,H 2594 BG,Motor,pasca,pertama,9:10,12:04,120,54,174
,H 3366 NS,Motor,pasca,pertama,9:15,12:28,180,13,193
,H 5879 ABW,Motor,pasca,pertama,9:15,12:28,180,13,193
,G 2621 CAG,Motor,pasca,pertama,9:15,12:28,180,13,193
,K 5431 ZN,Motor ,pasca,pertama,9:16,12:29,180,13,193
,B 277 RDH,Mobil,pasca,pertama,9:21,10:05,0,44,44
,H 2009 DN,Motor,pasca,pertama,9:21,12:54,180,33,213
,K 6341 DS,Motor,pasca,pertama,9:29,10:17,0,48,48
,H 6086 ABE,Motor ,pasca,pertama,9:29,13:35,240,6,246
,K 3041 AKC,Motor,pasca,pertama,9:31,9:45,0,14,14
,H 5732 YZ,Motor ,pasca,pertama,9:31,9:59,0,28,28
,H 6496 AQ,Motor,pasca,pertama,9:32,13:35,240,3,243
,H 5185 YZ,Motor,pasca,pertama,9:36,9:50,0,14,14
,H 3778 AWG,Motor,pasca,pertama,9:40,13:46,240,6,246
,H 3365 UU,Motor,pasca,pertama,9:41,14:00,240,19,259
,G 9169 PE,Mobil,pasca,pertama,9:45,12:22,120,37,157
,H 4314 BFG,Motor,pasca,pertama,9:46,10:57,60,11,71
,H 5268 TM,Motor,pasca,pertama,9:46,11:10,60,24,84
,H 4876 DG,Motor,pasca,pertama,9:51,12:05,120,14,134
,R 4035 PS,Motor,pasca,pertama,9:54,10:32,0,38,38
,K 3067 DC,Motor,pasca,pertama,9:55,10:45,0,50,50
,H 2933 AUG,Motor,pasca,pertama,10:01,11:31,60,30,90
,H 5480 FW,Motor,pasca,pertama,10:05,10:06,0,1,1
,H 5108 HA,Motor ,pasca,pertama,10:15,12:57,120,42,162
,H 5158 SH,Motor,pasca,pertama,10:16,10:21,0,5,5
,K 4758 PS,Motor,pasca,pertama,10:16,14:01,180,45,225
,K 5062 LM,Motor,pasca,pertama,10:18,13:24,180,6,186
,K 4737 FQ,Motor,pasca,pertama,10:18,10:49,0,31,31
,H 3874 VH,Motor,pasca,pertama,10:22,14:01,180,39,219
,K 5224 SR,Motor,pasca,pertama,10:22,11:34,60,12,72
,K 4707 NJ,Motor,pasca,pertama,10:22,11:57,60,35,95
,K 4702 LR,Motor,pasca,pertama,10:22,12:15,60,53,113
,K 2532 DG,Motor,pasca,pertama,10:22,13:19,120,57,177
,H 5070 DA,Motor,pasca,pertama,10:23,10:45,0,22,22
,H 2107 HH,Motor,pasca,pertama,10:23,10:45,0,22,22
,H 8010 QA,Mobil,pasca,pertama,10:26,12:08,60,42,102
,H 5185 YZ,Motor,pasca,pertama,10:30,10:54,0,24,24
,K 2929 KP,Motor ,pasca,pertama,10:43,11:54,60,11,71
,G 3338 LM,Motor,pasca,pertama,10:43,12:36,60,53,113
,H 5462 ARD,Motor,pasca,pertama,10:45,11:19,0,34,34
,K 3374 ZC,Motor,pasca,pertama,10:45,11:45,60,0,60
,H 9387 TR,Mobil,pasca,pertama,10:49,12:09,60,20,80
,H 2066 HQ,Motor,pasca,pertama,10:49,11:37,0,48,48
,H 6095 A,Motor ,pasca,pertama,10:55,11:08,0,13,13
,H 3608 PH,Motor,pasca,pertama,11:01,11:37,0,36,36
,H 6229 VZ,Motor,pasca,pertama,11:02,11:04,0,2,2
,H 3476 BWG,Motor,pasca,pertama,11:09,13:31,120,22,142
,G 5503 WK,Motor ,pasca,pertama,11:20,14:03,120,43,163
,H 6641 VA,Motor,pasca,pertama,11:20,14:03,120,43,163
