id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 7375 BF,MOBIL,gedung_pusat,pertama,8:22,12:30,240,8,248
,H 7590 JA,MOBIL,gedung_pusat,pertama,8:23,9:34,60,11,71
,K 8404 CK,MOTOR,gedung_pusat,pertama,8:25,10:34,120,9,129
,H 5640 EN,MOTOR,gedung_pusat,pertama,8:26,10:25,60,59,119
,AD 4149 ACD,MOTOR,gedung_pusat,pertama,8:27,8:41,0,14,14
,H 3406 E,MOTOR,gedung_pusat,pertama,8:27,9:48,60,21,81
,K 3763 GU,MOTOR,gedung_pusat,pertama,8:28,10:48,120,20,140
,K 4792 APD,MOTOR,gedung_pusat,pertama,8:28,8:57,0,29,29
,H 4668 ACD,MOTOR,gedung_pusat,pertama,8:30,9:57,60,27,87
,AA 6893 UU,MOTOR,gedung_pusat,pertama,8:31,8:39,0,8,8
,H 3051 BF,MOTOR,gedung_pusat,pertama,8:32,9:20,0,48,48
,K 3004 WG,MOTOR,gedung_pusat,pertama,8:32,8:36,0,4,4
,H 3420 FG,MOTOR,gedung_pusat,pertama,8:32,9:36,60,4,64
,K 5414 AAF,MOTOR,gedung_pusat,pertama,8:33,8:54,0,21,21
,H 4458 ADC,MOTOR,gedung_pusat,pertama,8:35,9:29,0,54,54
,H 4922 FH,MOTOR,gedung_pusat,pertama,8:35,9:14,0,39,39
,H 5388 AZE,MOTOR,gedung_pusat,pertama,8:35,10:14,60,39,99
,H 2813 FQ,MOTOR,gedung_pusat,pertama,8:35,8:56,0,21,21
,G 6044 FU,MOTOR,gedung_pusat,pertama,8:35,9:40,60,5,65
,H 9012 DP,MOBIL,gedung_pusat,pertama,8:35,10:40,120,5,125
,K 5051 RS,MOTOR,gedung_pusat,pertama,8:37,12:35,180,58,238
,DK 7624 OD,MOTOR,gedung_pusat,pertama,8:37,11:51,180,14,194
,H 4853 AGG,MOTOR,gedung_pusat,pertama,8:37,12:51,240,14,254
,K 2330 KN,MOTOR,gedung_pusat,pertama,8:37,10:30,60,53,113
,K 2669 HC,MOTOR,gedung_pusat,pertama,8:38,8:50,0,12,12
,H 3949 APD,MOTOR,gedung_pusat,pertama,8:39,9:50,60,11,71
,K 4905 RN,MOTOR,gedung_pusat,pertama,8:43,9:00,0,17,17
,K 6979 KU,MOTOR,gedung_pusat,pertama,8:46,10:00,60,14,74
,H 5699 FQ,MOTOR,gedung_pusat,pertama,8:47,11:00,120,13,133
,K 6991 YZ,MOTOR,gedung_pusat,pertama,8:47,9:50,60,3,63
,K 3277 NQ,MOTOR,gedung_pusat,pertama,8:47,11:14,120,27,147
,H 6725 HL,MOTOR,gedung_pusat,pertama,8:47,8:49,0,2,2
,K 2534 IR,MOTOR,gedung_pusat,pertama,8:48,11:55,180,7,187
,K 5135 YZ,MOTOR,gedung_pusat,pertama,8:49,12:15,180,26,206
,H 2339 AAW,MOTOR,gedung_pusat,pertama,8:49,13:15,240,26,266
,K 4839 QJ,MOTOR,gedung_pusat,pertama,8:49,12:17,180,28,208
,K 4387 GY,MOTOR,gedung_pusat,pertama,8:49,10:14,60,25,85
,H 2494 CD,MOTOR,gedung_pusat,pertama,8:49,12:17,180,28,208
,G 6807 KL,MOTOR,gedung_pusat,pertama,8:50,11:14,120,24,144
,B 3320 PAE,MOTOR,gedung_pusat,pertama,8:50,11:47,120,57,177
,K 4259 QT,MOTOR,gedung_pusat,pertama,8:50,12:47,180,57,237
,H 3162 AMG,MOTOR,gedung_pusat,pertama,8:50,11:11,120,21,141
,H 2744 ALG,MOTOR,gedung_pusat,pertama,8:51,11:19,120,28,148
,H 4637 AJE,MOTOR,gedung_pusat,pertama,8:51,10:33,60,42,102
