id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,K 5168 TV,MOTOR ,utama,pertama,8:17,8:30,0,13,13
,K 2539 QQ,MOTOR ,utama,pertama,8:20,13:50,300,30,330
,H 3642 AEG,MOTOR ,utama,pertama,8:22,12:28,240,6,246
,K 3090 LS,MOTOR ,utama,pertama,8:24,10:33,120,9,129
,K 5629 WJ,MOTOR ,utama,pertama,8:27,11:33,180,6,186
,H 3392 AWG,MOTOR ,utama,pertama,8:27,9:25,0,58,58
,G 6610 RP,MOTOR ,utama,pertama,8:27,13:51,300,24,324
,H 5338 RCI,MOTOR ,utama,pertama,8:28,8:58,0,30,30
,G 4881 SI,MOTOR ,utama,pertama,8:28,9:58,60,30,90
,H 2084 BLG,MOTOR ,utama,pertama,8:32,8:38,0,6,6
,G 4885 LV,MOTOR ,utama,pertama,8:35,8:38,0,3,3
,KI 4303 VM,MOTOR ,utama,pertama,8:36,14:03,300,27,327
,K 5495 EY,MOTOR ,utama,pertama,8:36,8:38,0,2,2
,K 2832 KM,MOTOR ,utama,pertama,8:36,9:38,60,2,62
,H 6437 GI,MOTOR ,utama,pertama,8:36,10:00,60,24,84
,H 3796 QF,MOTOR ,utama,pertama,8:36,8:36,0,0,0
,H 5240 AGD,MOTOR ,utama,pertama,8:37,9:36,0,59,59
,K 4646 AI,MOTOR ,utama,pertama,8:38,10:36,60,58,118
,H 5180 ZQ,MOTOR ,utama,pertama,8:38,11:36,120,58,178
,H 5979 JF,MOTOR ,utama,pertama,8:40,12:36,180,56,236
,AD 3228 YT,MOTOR ,utama,pertama,8:40,13:36,240,56,296
,G 5856 RM,MOTOR ,utama,pertama,8:41,9:00,0,19,19
,K 5035 FU,MOTOR ,utama,pertama,8:50,10:33,60,43,103
,H 2559 KA,MOTOR ,utama,pertama,8:55,8:58,0,3,3
,H 6621 A,MOTOR ,utama,pertama,8:57,8:58,0,1,1
,H 5348 GA,MOTOR ,utama,pertama,8:58,9:58,60,0,60
,K 6195 AU,MOTOR ,utama,pertama,8:59,10:35,60,36,96
,K 6667 FE,MOTOR ,utama,pertama,9:00,10:17,60,17,77
,H 6512 FL,MOTOR ,utama,pertama,9:00,11:17,120,17,137
,H 3574 LU,MOTOR ,utama,pertama,9:00,9:58,0,58,58
,H 3235 ASE,MOTOR ,utama,pertama,9:00,11:00,120,0,120
,G 5811 SM,MOTOR ,utama,pertama,9:00,13:17,240,17,257
,G 4301 WI,MOTOR ,utama,pertama,9:00,14:17,300,17,317
,G 3348 NU,MOTOR ,utama,pertama,9:00,11:27,120,27,147
,K 5294 QK,MOTOR ,utama,pertama,9:02,11:31,120,29,149
,K 3563 VJ,MOTOR ,utama,pertama,9:02,11:47,120,45,165
,H 6991 VN,MOTOR ,utama,pertama,9:02,11:11,120,9,129
,H 6432 KQ,MOTOR ,utama,pertama,9:03,12:11,180,8,188
,H 5499 CW,MOTOR ,utama,pertama,9:03,13:11,240,8,248
,G 5696 WJ,MOTOR ,utama,pertama,9:03,11:11,120,8,128
,K 5672 UD,MOTOR ,utama,pertama,9:04,13:21,240,17,257
,H 2794 AGC,MOTOR ,utama,pertama,9:04,14:21,300,17,317
,K 5448 DU,MOTOR ,utama,pertama,9:05,10:14,60,9,69
,K 4282 VU,MOTOR ,utama,pertama,9:05,11:14,120,9,129
,K 3248 VG,MOTOR ,utama,pertama,9:05,11:35,120,30,150
,K 2414 Z,MOTOR ,utama,pertama,9:05,10:43,60,38,98
,H 5898 YA,MOTOR ,utama,pertama,9:05,11:43,120,38,158
,H 5393 BS,MOTOR ,utama,pertama,9:05,12:43,180,38,218
,H 3593 AKG,MOTOR ,utama,pertama,9:05,13:43,240,38,278
,H 2933 NR,MOTOR ,utama,pertama,9:05,9:30,0,25,25
,H 2712 AVG,MOTOR ,utama,pertama,9:05,9:31,0,26,26
,H 2647 AKG,MOTOR ,utama,pertama,9:05,12:23,180,18,198
,G 5584 LI,MOTOR ,utama,pertama,9:05,11:27,120,22,142
,G 4428 QL,MOTOR ,utama,pertama,9:05,9:40,0,35,35
,G 3913 LW,MOTOR ,utama,pertama,9:05,9:40,0,35,35
,H 6093 ACE,MOTOR ,utama,pertama,9:06,9:40,0,34,34
,H 5144 YA,MOTOR ,utama,pertama,9:06,11:32,120,26,146
,H 5022 NA,MOTOR ,utama,pertama,9:06,9:44,0,38,38
,H 4978 IZ,MOTOR ,utama,pertama,9:06,9:45,0,39,39
,H 4861 AEE,MOTOR ,utama,pertama,9:06,9:45,0,39,39
,H 4368 VQ,MOTOR ,utama,pertama,9:06,9:46,0,40,40
,H 2510,MOTOR ,utama,pertama,9:06,9:47,0,41,41
,K 6940 RN,MOTOR ,utama,pertama,9:07,13:06,180,59,239
,G 4914 PL,MOTOR ,utama,pertama,9:07,12:36,180,29,209
,K 4891 LZ,MOTOR ,utama,pertama,9:07,9:51,0,44,44
,K 4027 YZ,MOTOR ,utama,pertama,9:07,13:45,240,38,278
,K 4021 ZH,MOTOR ,utama,pertama,9:07,9:54,0,47,47
,K 3301 GU,MOTOR ,utama,pertama,9:07,10:50,60,43,103
,K 2657 ZQ,MOTOR ,utama,pertama,9:07,11:33,120,26,146
,H 4898 HU,MOTOR ,utama,pertama,9:07,13:21,240,14,254
,G 3479 JW,MOTOR ,utama,pertama,9:07,13:33,240,26,266
,G 2528 QJ,MOTOR ,utama,pertama,9:07,9:56,0,49,49
,AA 4138 EP,MOTOR ,utama,pertama,9:07,9:56,0,49,49
,K 6125 HG,MOTOR ,utama,pertama,9:08,10:33,60,25,85
,K 2180 AGW,MOTOR ,utama,pertama,9:08,11:06,60,58,118
,H 3225 KT,MOTOR ,utama,pertama,9:09,10:00,0,51,51
,H 3818 QZ,MOTOR ,utama,pertama,9:10,11:15,120,5,125
,H 3297 CQ,MOTOR ,utama,pertama,9:12,12:15,180,3,183
,K 3601 GJ,MOTOR ,utama,pertama,9:13,10:17,60,4,64
,G 4721 LH,MOTOR ,utama,pertama,9:13,11:17,120,4,124
,K 6286 QS,MOTOR ,utama,pertama,9:14,12:17,180,3,183
,K 3428,MOTOR ,utama,pertama,9:15,13:17,240,2,242
,K 3099 CJ,MOTOR ,utama,pertama,9:15,10:55,60,40,100
,K 2910 WH,MOTOR ,utama,pertama,9:15,9:40,0,25,25
,H 6159 AFE,MOTOR ,utama,pertama,9:15,10:40,60,25,85
,K 6134 WR,MOTOR ,utama,pertama,9:16,11:40,120,24,144
,H 4391 KM,MOTOR ,utama,pertama,9:16,12:40,180,24,204
,H 3922 KG,MOTOR ,utama,pertama,9:16,12:01,120,45,165
,H 2928 KS,MOTOR ,utama,pertama,9:16,9:57,0,41,41
,K 3438 PQ,MOTOR ,utama,pertama,9:17,9:58,0,41,41
,H 4837 AQC,MOTOR ,utama,pertama,9:17,9:58,0,41,41
,H 4339 AMG,MOTOR ,utama,pertama,9:19,9:58,0,39,39
,H 3553 LE,MOTOR ,utama,pertama,9:19,9:58,0,39,39
,G 5259 VT,MOTOR ,utama,pertama,9:19,10:00,0,41,41
,K 6335 YS,MOTOR ,utama,pertama,9:20,10:24,60,4,64
,H 4081 JS,MOTOR ,utama,pertama,9:20,10:02,0,42,42
,H 4067 BO,MOTOR ,utama,pertama,9:20,10:02,0,42,42
,G 2627 CAG,MOTOR ,utama,pertama,9:20,10:02,0,42,42
,H 3051 BF,MOTOR ,utama,pertama,9:21,10:02,0,41,41
,G 4908 KI,MOTOR ,utama,pertama,9:25,10:08,0,43,43
,G 4081 AFF,MOTOR ,utama,pertama,9:25,10:09,0,44,44
,KH 2965 RF,MOTOR ,utama,pertama,9:28,13:48,240,20,260
,R 4844 DL,MOTOR ,utama,pertama,9:29,14:48,300,19,319
,K 3532 TU,MOTOR ,utama,pertama,9:29,10:31,60,2,62
